      time  timestep     dKEdt        KE     VFint    rhoint   rhoUint   rhoVint   rhoWint
      0.0015000000000000      0.0015000000000000 -42768.0027725178661058  21609.0283886578399688     -0.00000000000004352591607.9591950597241521      0.0000000002396519      0.0000000001675176      0.0000000000000000
      0.0030000000000000      0.0015000000000000-100568.3071952793397941  21461.2982122497560340      0.0000000000132852      0.0000000132685045      0.0000000000204636     -0.0000000000885052      0.0000000000000000
      0.0045000000000000      0.0015000000000000 -95811.5230655535706319  21318.7912788336143421      0.0000000000124666      0.0000000124551889      0.0000000001273293      0.0000000000438263      0.0000000000000000
      0.0060000000000000      0.0015000000000000 -94649.3618429022608325  21176.3801561564250733      0.0000000000383947      0.0000000383487304     -0.0000000001459739      0.0000000000953264      0.0000000000000000
      0.0075000000000000      0.0015000000000000 -92266.0549712005595211  21036.8235199402624858      0.0000000000143539      0.0000000143526222     -0.0000000000163709     -0.0000000002262937      0.0000000000000000
      0.0090000000000000      0.0015000000000000 -90026.5331011524249334  20900.3005423158028862      0.0000000000033487      0.0000000033468268      0.0000000000450200     -0.0000000000957243      0.0000000000000000
      0.0105000000000000      0.0015000000000000 -87864.7343345439730911  20766.9967763732165622     -0.0000000000017956     -0.0000000017943194     -0.0000000000031832     -0.0000000000411546      0.0000000000000000
      0.0120000000000000      0.0015000000000000 -85775.4912143887486309  20636.9469256335942191     -0.0000000000043493     -0.0000000043227146      0.0000000000845830     -0.0000000000887326      0.0000000000000000
      0.0135000000000000      0.0015000000000000 -83765.2305763307813322  20510.0827663288473559     -0.0000000000058227     -0.0000000058388423     -0.0000000000945874     -0.0000000001933813      0.0000000000000000
      0.0150000000000000      0.0015000000000000 -81821.3031121309031732  20386.3212015842582332     -0.0000000000062889     -0.0000000062799472      0.0000000002755769     -0.0000000000715090      0.0000000000000000
      0.0165000000000000      0.0015000000000000 -80635.7820928183937212  20264.7417554069324979     -0.0000000000058425     -0.0000000058399792      0.0000000000809450      0.0000000000662794      0.0000000000000000
      0.0180000000000000      0.0015000000000000 -78791.0576349870098056  20146.2421543691089028     -0.0000000000038547     -0.0000000038318149      0.0000000000686668      0.0000000000533191      0.0000000000000000
      0.0195000000000000      0.0015000000000000 -77044.3116010414378252  20030.6196332483305014     -0.0000000000025507     -0.0000000025654572     -0.0000000000536602      0.0000000000238174      0.0000000000000000
      0.0210000000000000      0.0015000000000000 -75338.6485154442780185  19918.2910210254594858     -0.0000000000012823     -0.0000000012665851      0.0000000000163709     -0.0000000000103455      0.0000000000000000
      0.0225000000000000      0.0015000000000000 -73706.1909285571309738  19808.4575054608103528      0.0000000000000058      0.0000000000006253     -0.0000000000250111     -0.0000000001951435      0.0000000000000000
      0.0240000000000000      0.0015000000000000 -72145.1760104837303516  19700.7936932363372762      0.0000000000012063      0.0000000012093437      0.0000000001523404     -0.0000000000998739      0.0000000000000000
      0.0255000000000000      0.0015000000000000 -70631.9847785911551910  19595.4382064798264764      0.0000000000018336      0.0000000018143851      0.0000000000723048     -0.0000000001800231      0.0000000000000000
      0.0270000000000000      0.0015000000000000 -69163.3069666532101110  19492.4475824622131768      0.0000000000018505      0.0000000018518449      0.0000000001978151      0.0000000001471676      0.0000000000000000
      0.0285000000000000      0.0015000000000000 -67736.8241842917050235  19391.6951823580093333      0.0000000000012448      0.0000000012385613     -0.0000000000763976     -0.0000000001485319      0.0000000000000000
      0.0300000000000000      0.0015000000000000 -66346.8567961636581458  19301.5859473207456176      0.0000000000007480      0.0000000007520953     -0.0000000000063665      0.0000000001882654      0.0000000000000000
      0.0315000000000000      0.0015000000000000 -65017.0955432788759936  19208.8603915588173550      0.0000000000003122      0.0000000003054197      0.0000000000281943     -0.0000000000850946      0.0000000000000000
      0.0330000000000000      0.0015000000000000 -63789.1176132527398295  19132.2983998680356308     -0.0000000000008747     -0.0000000008695338      0.0000000000668479      0.0000000001538751      0.0000000000000000
      0.0345000000000000      0.0015000000000000 -62058.2404154746109270  19042.8658327950579405     -0.0000000000002673     -0.0000000002631850      0.0000000001018634     -0.0000000000620162      0.0000000000000000
      0.0360000000000000      0.0015000000000000 -60866.3664623916556593  18955.2788012865603378      0.0000000000324413      0.0000000323977929      0.0000000000695763     -0.0000000000400178      0.0000000000000000
      0.0375000000000000      0.0015000000000000 -59715.6626497616380220  18868.9713857079696027     -0.0000000000016429     -0.0000000016365789      0.0000000000604814     -0.0000000001096510      0.0000000000000000
      0.0390000000000000      0.0015000000000000 -58589.0116889264172642  18784.9463402726214554     -0.0000000000038316     -0.0000000038320422      0.0000000000127329     -0.0000000001935803      0.0000000000000000
      0.0405000000000000      0.0015000000000000 -57494.1954123084433377  18702.6456961034346023     -0.0000000000044547     -0.0000000044389594      0.0000000001227818     -0.0000000000596856      0.0000000000000000
      0.0420000000000000      0.0015000000000000 -56429.4495565050165169  18621.9814401885887492      0.0000000000372651      0.0000000372326099     -0.0000000000541149     -0.0000000000919727      0.0000000000000000
      0.0435000000000000      0.0015000000000000 -55394.6829067302314797  18542.8514199805285898     -0.0000000000078860     -0.0000000078835569     -0.0000000002255547     -0.0000000000146372      0.0000000000000000
      0.0450000000000000      0.0015000000000000 -54388.2493146555643762  18465.2450353150125011      0.0000000000146171      0.0000000145903414     -0.0000000000991349      0.0000000000269438      0.0000000000000000
      0.0465000000000000      0.0015000000000000 -53408.6187704515396035  18389.0880609158302832     -0.0000000000099918     -0.0000000099743147     -0.0000000000600267     -0.0000000000283649      0.0000000000000000
      0.0480000000000000      0.0015000000000000 -52454.9065067097981228  18314.3672857595047390      0.0000000000708609      0.0000000707854042     -0.0000000000641194     -0.0000000000132161      0.0000000000000000
      0.0495000000000000      0.0015000000000000 -51531.5853734022966819  18240.9997157076468284      0.0000000000264225      0.0000000264095092     -0.0000000001205080     -0.0000000000429168      0.0000000000000000
      0.0510000000000000      0.0015000000000000 -50633.3490748213371262  18168.9532063509686850      0.0000000000196626      0.0000000196298515      0.0000000001305125     -0.0000000002111165      0.0000000000000000
