      time  timestep     dKEdt        KE     VFint    rhoint   rhoUint   rhoVint   rhoWint
      0.0010000000000000      0.0010000000000000    -34.7332213357473876   9885.7608817487107444      0.0000000000088466************************      0.0000000000095701     -0.0000000000053016      0.0000000000027376
      0.0020000000000000      0.0010000000000000    -52.2247294824316270   9885.5695685751379642      0.0000000000282136      0.0000000281873707     -0.0000000000029682     -0.0000000000131785      0.0000000000003331
      0.0030000000000000      0.0010000000000000    -51.5635794100724922   9885.3680710866465233      0.0000000000294335      0.0000000294028535     -0.0000000000217827      0.0000000000202136      0.0000000000017800
      0.0040000000000000      0.0010000000000000    -51.0928068966060920   9885.1598136559277918      0.0000000000303586      0.0000000303275502     -0.0000000000223411     -0.0000000000138032     -0.0000000000014405
      0.0050000000000000      0.0010000000000000    -50.7076577633691556   9884.9461158748763410      0.0000000000312804      0.0000000312512931     -0.0000000000192808     -0.0000000000010805     -0.0000000000003417
      0.0060000000000000      0.0010000000000000    -50.3698634308844149   9884.7276791265030624      0.0000000000323496      0.0000000323159277      0.0000000000127060      0.0000000000022186     -0.0000000000004650
      0.0070000000000000      0.0010000000000000    -50.0634911684738597   9884.5049376810493413      0.0000000000333749      0.0000000333417436      0.0000000000017753      0.0000000000141679      0.0000000000014393
      0.0080000000000000      0.0010000000000000    -49.7808326371768644   9884.2781938577390974      0.0000000000341049      0.0000000340709541      0.0000000000260740     -0.0000000000272193      0.0000000000004213
      0.0090000000000000      0.0010000000000000    -49.5175504439770009   9884.0476206251441909      0.0000000000352144      0.0000000351796112     -0.0000000000047190      0.0000000000152742     -0.0000000000005671
      0.0100000000000000      0.0010000000000000    -49.2708654237569874   9883.8133073527369561      0.0000000000361061      0.0000000360672701      0.0000000000192060      0.0000000000288533     -0.0000000000006971
      0.0110000000000000      0.0010000000000000    -49.0388047946656442   9883.5753103235001618      0.0000000000368088      0.0000000367723860      0.0000000000061870      0.0000000000532987     -0.0000000000002433
      0.0120000000000000      0.0010000000000000    -48.8198608329407833   9883.3336634838924510      0.0000000000373969      0.0000000373612687      0.0000000000056980      0.0000000000257353     -0.0000000000012117
      0.0130000000000000      0.0010000000000000    -48.6128174430528333   9883.0883974005701020      0.0000000000377084      0.0000000376691061      0.0000000000044405      0.0000000000096424      0.0000000000000336
      0.0140000000000000      0.0010000000000000    -48.4166579749767010   9882.8395106103052967      0.0000000000380280      0.0000000379906737     -0.0000000000072474      0.0000000000017338     -0.0000000000002892
      0.0150000000000000      0.0010000000000000    -48.2305186655965628   9882.5870473776176368      0.0000000000382248      0.0000000381882224      0.0000000000221966      0.0000000000286051     -0.0000000000002044
      0.0160000000000000      0.0010000000000000    -48.0536460595773960   9882.3310482838551252     -0.0000000000243845     -0.0000000243590712      0.0000000000312488     -0.0000000000253330      0.0000000000004925
      0.0170000000000000      0.0010000000000000    -47.8853720247861006   9882.0714942912127299     -0.0000000000214640     -0.0000000214441238     -0.0000000000172882      0.0000000000070554      0.0000000000018142
      0.0180000000000000      0.0010000000000000    -47.7251056323685958   9881.8083453424569598     -0.0000000000185240     -0.0000000185068769     -0.0000000000234472     -0.0000000000165148      0.0000000000013798
      0.0190000000000000      0.0010000000000000    -47.5723210965642238   9881.5416069357324886     -0.0000000000165443     -0.0000000165280269     -0.0000000000115235      0.0000000000181008     -0.0000000000004136
      0.0200000000000000      0.0010000000000000    -47.4265429579610824   9881.2712728337446606     -0.0000000000145394     -0.0000000145233183      0.0000000000277603     -0.0000000000092609     -0.0000000000021887
      0.0210000000000000      0.0010000000000000    -47.3180099460322978   9880.9971299855660618     -0.0000000000122133     -0.0000000122002746      0.0000000000070789      0.0000000000332531     -0.0000000000004499
      0.0220000000000000      0.0010000000000000    -47.3267764149195429   9880.7190356616592908     -0.0000000000092328     -0.0000000092209973      0.0000000000085616      0.0000000000288890     -0.0000000000000896
      0.0230000000000000      0.0010000000000000    -47.4581117711395137   9880.4364012178793928     -0.0000000000002157     -0.0000000002160050     -0.0000000000104654     -0.0000000000105783     -0.0000000000009068
      0.0240000000000000      0.0010000000000000    -47.6625527836516909   9880.1499604489999911      0.0000000000325814      0.0000000325459268      0.0000000000113365      0.0000000000068384     -0.0000000000002025
      0.0250000000000000      0.0010000000000000    -48.1394196250218087   9879.8575840588873689      0.0000000000312839      0.0000000312538759      0.0000000000069039     -0.0000000000257978     -0.0000000000003872
      0.0260000000000000      0.0010000000000000    -48.3611300475804100   9879.5581267015240883      0.0000000000273666      0.0000000273382739     -0.0000000000176037     -0.0000000000103746     -0.0000000000009003
      0.0270000000000000      0.0010000000000000    -48.6826970933971239   9879.2510526598071010      0.0000000000307410      0.0000000307118171     -0.0000000000116590     -0.0000000000232882      0.0000000000009549
      0.0280000000000000      0.0010000000000000    -49.1653331995666605   9878.9377551654724812      0.0000000000247300      0.0000000247009666     -0.0000000000116870     -0.0000000000029367      0.0000000000001916
      0.0290000000000000      0.0010000000000000    -49.2888198384172824   9878.6182718759937416      0.0000000000283569      0.0000000283312147     -0.0000000000369557      0.0000000000280613      0.0000000000016898
      0.0300000000000000      0.0010000000000000    -49.6683941386442314   9878.2905330164030602      0.0000000000204823      0.0000000204645403     -0.0000000000130868      0.0000000000363635     -0.0000000000003616
      0.0310000000000000      0.0010000000000000    -49.8392529054579967   9877.9560060216936108      0.0000000000199218      0.0000000198979251      0.0000000000207836     -0.0000000000372572     -0.0000000000011716
      0.0320000000000000      0.0010000000000000    -50.2153875152380706   9877.6126431764387235      0.0000000000202509      0.0000000202244337     -0.0000000000103524      0.0000000000171162      0.0000000000013490
      0.0330000000000000      0.0010000000000000    -50.5439921507056837   9877.2624495698382816      0.0000000000219571      0.0000000219338290      0.0000000000125066      0.0000000000523911      0.0000000000003982
      0.0340000000000000      0.0010000000000000    -50.8011915960160252   9876.9035948716664279      0.0000000000217715      0.0000000217569323      0.0000000000277438     -0.0000000000515935     -0.0000000000000954
      0.0350000000000000      0.0010000000000000    -50.7778557302655074   9876.5379656233308197      0.0000000000216107      0.0000000215914042     -0.0000000000057776      0.0000000000011146     -0.0000000000001350
      0.0360000000000000      0.0010000000000000    -51.2263984385374656   9876.1663940948092204      0.0000000000227360      0.0000000227132659      0.0000000000152354     -0.0000000000627104     -0.0000000000009754
      0.0370000000000000      0.0010000000000000    -51.3125155282384640   9875.7879204506079986      0.0000000000232281      0.0000000231984814      0.0000000000181545     -0.0000000000287158      0.0000000000020712
      0.0380000000000000      0.0010000000000000    -50.9733917096829714   9875.4125903068961634      0.0000000000231033      0.0000000230852493      0.0000000000301487     -0.0000000000055732      0.0000000000021587
      0.0390000000000000      0.0010000000000000    -50.4713145523077173   9875.0563352173849125      0.0000000000251226      0.0000000250952326     -0.0000000000200089     -0.0000000000208941      0.0000000000005910
      0.0400000000000000      0.0010000000000000    -49.7192878303735455   9874.7178168085883954      0.0000000000291251      0.0000000290956450      0.0000000000142357      0.0000000000160578     -0.0000000000000436
      0.0410000000000000      0.0010000000000000    -49.1490683287869743   9874.3943329630455992      0.0000000000303801      0.0000000303489287     -0.0000000000222435      0.0000000000401239     -0.0000000000005286
      0.0420000000000000      0.0010000000000000    -49.0317256072826240   9874.0819409304294823      0.0000000000297700      0.0000000297386578     -0.0000000000043201     -0.0000000000003175      0.0000000000002375
