                    time                timestep                      KE                    KE_l                    KE_g                    rhoU                    rhoV                    rhoW                  rhoU_l                  rhoV_l                  rhoW_l                  rhoU_g                  rhoV_g                  rhoW_g                      VF                     rho
      0.0000000000000000      0.0040000000000000   9893.5700378854799055   9872.4611182694825402     21.1089196159961432     -0.0000000000007232      0.0000000000012085      0.0000000000000000      0.0000000000007307     -0.0000000000002909      0.0000000000000000     -0.0000000000000006     -0.0000000000000008      0.0000000000000000     78.9568352087144518  79125.9285869478189852
      0.0040000000000000      0.0040000000000000   9893.3052306218214653   9872.1917594339665811     21.1134711878527810      0.0000000000020364      0.0000000000011489     -0.0000000000698850     -0.0000001008410635      0.0000001244370593     -0.0000000000702465      0.0000001008433602     -0.0000001244371038      0.0000000000003612     78.9568352087145087  79125.9285869478480890
      0.0080000000000000      0.0040000000000000   9893.0464955664356239   9871.9290911086263804     21.1174044578091440      0.0000000000019601      0.0000000000037738     -0.0000000001012358     -0.0000001147073050      0.0000001834429000     -0.0000000000917412      0.0000001147076520     -0.0000001834408280     -0.0000000000094945     78.9568352087145229  79125.9285869478626410
      0.0120000000000000      0.0040000000000000   9892.7928886794779828   9871.6719982896502188     21.1208903898287943     -0.0000000000002891      0.0000000000026393     -0.0000000001165387     -0.0000001151844486      0.0000002059609230     -0.0000000000903713      0.0000001151835673     -0.0000002059588929     -0.0000000000261746     78.9568352087145371  79125.9285869478335371
      0.0160000000000000      0.0040000000000000   9892.5437188767955377   9871.4196402354027668     21.1240786413930337     -0.0000000000012315      0.0000000000065872     -0.0000000001309849     -0.0000001139466974      0.0000002207596452      0.0000000000922043      0.0000001139454525     -0.0000002207552990     -0.0000000002231908     78.9568352087145371  79125.9285869478480890
      0.0200000000000000      0.0040000000000000   9892.2985149489504693   9871.1713383901424095     21.1271765588121632      0.0000000000017088      0.0000000000004008     -0.0000000001458224     -0.0000001125684008      0.0000002432462818      0.0000000011980967      0.0000001125665824     -0.0000002432505423     -0.0000000013439138     78.9568352087145513  79125.9285869478771929
      0.0240000000000000      0.0040000000000000   9892.0603080693545053   9870.9314175431409240     21.1288905262220652      0.0000000000004686      0.0000000000025902     -0.0000000000917675      0.0000000025382860      0.0000015849337061      0.0000044074444353     -0.0000000025389050     -0.0000015849325619     -0.0000044075362025     78.9568352087145229  79125.9285869478771929
      0.0280000000000000      0.0040000000000000   9891.8192482009144442   9870.6985811609265511     21.1206670399943235      0.0000000000142488      0.0000000000033873      0.0000000039109447     -0.0000000126153452     -0.0000002745243677      0.0000070458695484      0.0000000126291832      0.0000002745269900     -0.0000070419586061     78.9568352087145229  79125.9285869478189852
      0.0320000000000000      0.0040000000000000   9891.5632801269948686   9870.4531166605083854     21.1101634664921818      0.0000000000170874      0.0000000000031100      0.0000000079847468     -0.0000000694035123     -0.0000018095456298      0.0000091560191119      0.0000000694184519      0.0000018095455413     -0.0000091480343709     78.9568352087145371  79125.9285869477753295
      0.0360000000000000      0.0040000000000000   9891.3009191328092129   9870.2001184497694339     21.1008006830509629      0.0000000000133654      0.0000000000064784      0.0000000072511284     -0.0000001325657308     -0.0000004654038257      0.0000161072851409      0.0000001325800375      0.0000004654069454     -0.0000161000340308     78.9568352087145087  79125.9285869477753295
