           alpha_delta_g           nd_growthrate
   3.760000E+00    3.571022E-02
   3.780000E+00    3.544255E-02
   3.800000E+00    3.531140E-02
   3.820000E+00    3.528507E-02
   3.840000E+00    3.533499E-02
   3.860000E+00    3.543714E-02
   3.880000E+00    3.557213E-02
   3.900000E+00    3.572469E-02
   3.920000E+00    3.588300E-02
   3.940000E+00    3.603798E-02
   3.960000E+00    3.618271E-02
   3.980000E+00    3.631192E-02
   4.000000E+00    3.642159E-02
