           alpha_delta_g           nd_growthrate
   3.760000E+00    4.490843E-02
   3.780000E+00    4.489119E-02
   3.800000E+00    4.485873E-02
   3.820000E+00    4.480520E-02
   3.840000E+00    4.472593E-02
   3.860000E+00    4.461725E-02
   3.880000E+00    4.447624E-02
   3.900000E+00    4.430055E-02
   3.920000E+00    4.408832E-02
   3.940000E+00    4.383805E-02
   3.960000E+00    4.354853E-02
   3.980000E+00    4.321876E-02
   4.000000E+00    4.284794E-02
